army,type,unit,u_suffix,s_type,s_count,speed,melee,range,defense,attack,nerve,rules,options,points
Goblins,Cavalry,Flaggit,w/ Mount,Hero,1,5,6,-,4,1,8/10,"Individual, Inspiring","Mount on a Fleabag, increasing Speed to 10 (+15 pts)",55
Goblins,Infantry,Wiz,,Hero,1,5,5,-,4,1,9/11,"Individual, LightningBolt(3)","Wind Blast (5) for +15pts, Bane-chant (2) for +15pts, Breath (6) for +15pts, Mount on a Fleabag, increasing Speed to 10 (+15 pts)",45
Goblins,Cavalry,Wiz,w/ Mount,Hero,1,5,5,-,4,1,9/11,"Individual, LightningBolt(3)","Wind Blast (5) for +15pts, Bane-chant (2) for +15pts, Breath (6) for +15pts, Mount on a Fleabag, increasing Speed to 10 (+15 pts)",60
Goblins,Infantry,King,,Hero,1,5,4,4,4,5,11/13,"Bow, Individual, Inspiring","Mount on a Fleabag, increasing Speed to 10 (+20) pts",90
Goblins,Cavalry,King,w/ Mount,Hero,1,5,4,4,4,5,11/13,"Bow, Individual, Inspiring","Mount on a Fleabag, increasing Speed to 10 (+20) pts",110
Goblins,Large Cavalry,King on Chariot,,Hero,1,9,4,4,5,7,13/15,"Bow, Inspiring, TC(2), 50x100mm Base Size",,130
Goblins,Large Cavalry,Magwa & Jo'os[1],,Living Legend,1,6,3,-,4,4,12/14,"CS(2), Individual, Inspiring, Vicious, Lightning Bolt(4), The Magwa'ns, Height 1",,110
Goblins,Large Infantry,Troll Bruiser,,Hero,1,6,3,-,5,5,12/15,"CS(3), Inspiring (Trolls Only), Nimble, Regeneration (5+) (This Unit does not have Yellow-Bellied)",,125
Orcs,Infantry,Ax,,Troop,10,5,4,-,5,10,9/11,,,90
Orcs,Infantry,Ax,,Regiment,20,5,4,-,5,12,13/15,,,125
Orcs,Infantry,Ax,,Horde,40,5,4,-,5,25,20/22,,,205
Orcs,Infantry,Greatax,,Troop,10,5,3,-,4,10,10/12,CS(2),,100
Orcs,Infantry,Greatax,,Regiment,20,5,3,-,4,12,14/16,CS(2),,145
Orcs,Infantry,Greatax,,Horde,40,5,3,-,4,25,21/23,CS(2),,240
Orcs,Infantry,Skulks,,Troop,10,6,5,5,3,8,9/11,"Bows, Vanguard",,75
Orcs,Infantry,Morax,,Troop,10,5,3,-,4,20,10/12,,,140
Orcs,Infantry,Morax,,Regiment,20,5,3,-,4,25,14/16,,,200
Orcs,Large Infantry,Trolls*,,Regiment,3,6,4,-,5,9,11/14,"CS(2), Regeneration (5+)",,125
Orcs,Large Infantry,Trolls*,,Horde,6,6,4,-,5,18,14/17,"CS(2), Regeneration (5+)",,190
Orcs,Large Infantry,Orclings*,,Regiment,3,5,5,-,3,12,10/12,"Vicious, Height 0, Orclings do not have Crushing Strength.",,60
Orcs,Large Infantry,Orclings*,,Horde,6,5,5,-,3,24,13/15,"Vicious, Height 0, Orclings do not have Crushing Strength.",,90
Orcs,Cavalry,Gore Riders,,Troop,5,8,3,-,5,8,10/12,TC(1),,120
Orcs,Cavalry,Gore Riders,,Regiment,10,8,3,-,5,16,13/15,TC(1),,185
Orcs,Large Cavalry,Gore Chariots,,Regiment,3,7,3,-,5,9,11/13,"TC(2), 50x100mm Base Size",,140
Orcs,Large Cavalry,Gore Chariots,,Horde,6,7,3,-,5,18,14/16,"TC(2), 50x100mm Base Size",,215
Orcs,Large Cavalry,Fight Wagons,,Regiment,3,7,3,-,5,15,11/13,50x100mm Base Size,,170
Orcs,Large Cavalry,Fight Wagons,,Horde,6,7,3,-,5,30,14/16,50x100mm Base Size,,260
Orcs,Monster,Giant,,Monster,1,7,4,-,5,1D6+6,17/19,"CS(3), Brutal, Fury, Never suffers the penalty for hindered charges.",,190
Orcs,Monster,War Drum,,Monster,1,5,4,-,4,3,-/11,"When testing the Nerve of friendly, non-allied units within 6"" of one or more war drums, the enemy suffers an additional -2 to their total.

Height 1  ",,80
Orcs,Infantry,Krudger,,Hero,1,5,3,-,5,5,12/14,"CS(2), Individual, Inspiring","(Gore(8 Sp, 20Pts))(Zappy Sneak (+15)(Stabby Sneak (+15)",130
Orcs,Cavalry,Krudger,w/ Mount,Hero,1,5,3,-,5,5,12/14,"CS(2), Individual, Inspiring","(Gore(8 Sp, 20Pts))(Zappy Sneak (+15)(Stabby Sneak (+15)",150
Orcs,Monster,Krudger on Slasher,,Hero,1,7,3,-,5,10,16/18,"CS(3), Inspiring","Winged Slasher(Fly & Speed 10, 50 Pts)",235
Orcs,Monster,Krudger on Slasher,w/ Wings,Hero,1,7,3,-,5,10,16/18,"CS(3), Inspiring","Winged Slasher(Fly & Speed 10, 50 Pts)",285
Orcs,Large Cavalry,Krudger on Gore Chariot,,Hero,1,7,3,-,5,7,14/16,"CS(2), TC(2), Inspiring, 50x100mm Base Size",(Zappy Sneak (+15)(Stabby Sneak (+15),185
Orcs,Infantry,Godspeaker,,Hero,1,5,3,-,4,2,10/12,"Individual, Breath(9), (For every friendly horde within 6"", Increase the amount of dice rolled for all spells by 1.)","(+15 BaneChant(2))(+10 Heal(2)) Mount on Gore, increasing Sp to 8 (+15)",75
Orcs,Cavalry,Godspeaker,w/ Mount,Hero,1,8,3,-,4,2,10/12,"Individual, Breath(9), (For every friendly horde within 6"", Increase the amount of dice rolled for all spells by 1.)",,90
Orcs,Infantry,Flagger,,Hero,1,5,4,-,4,1,9/11,"Individual, Inspiring","Gore(8 Sp, 10Pts)",50
Orcs,Cavalry,Flagger,w/ Mount,Hero,1,5,4,-,4,1,9/11,"Individual, Inspiring","Gore(8 Sp, 10Pts)",65
Orcs,Infantry,Wip the Half-Cast[1],,Living Legend,1,6,4,-,4,1,11/13,"Elite, Heal(3), Individual, Lightning Bolt(3), Inspiring(Orclings only) Wip's Playmates.  Wip do not have Crushing Strength.",,90
Orcs,Infantry,Gakamak[1],,Living Legend,1,5,2,-,5,7,13/15,"CS(3), Individual, Vicious, Very Inspiring","Gore(8 Sp, 30Pts)",210
Orcs,Cavalry,Gakamak[1],w/ Mount,Living Legend,1,8,2,-,5,7,13/15,"CS(3), Individual, Vicious, Very Inspiring","Gore(8 Sp, 30Pts)",240
Orcs,Large Infantry,Troll Bruiser,,Hero,1,6,3,-,5,5,12/15,"CS(3), Inspiring (Trolls Only), Nimble, Regeneration (5+)",,125
Kingdoms of Men,Infantry,Foot Guard,,Troop,10,5,3,-,5,10,10/12,,"(CS(1), -1DE)",95
Kingdoms of Men,Infantry,Foot Guard,,Regiment,20,5,3,-,5,12,14/16,,"(CS(1), -1DE)",135
Kingdoms of Men,Infantry,Foot Guard,,Horde,40,5,3,-,5,25,21/23,,"(CS(1), -1DE)",225
Kingdoms of Men,Infantry,Spear Phalanx,,Troop,10,5,4,-,4,10,9/11,Phalanx,,85
Kingdoms of Men,Infantry,Spear Phalanx,,Regiment,20,5,4,-,4,15,13/15,Phalanx,,120
Kingdoms of Men,Infantry,Spear Phalanx,,Horde,40,5,4,-,4,30,20/22,Phalanx,,200
Kingdoms of Men,Infantry,Pole-Arms Block,,Troop,10,5,4,-,3,10,9/11,CS(1),,70
Kingdoms of Men,Infantry,Pole-Arms Block,,Regiment,20,5,4,-,3,12,13/15,CS(1),,100
Kingdoms of Men,Infantry,Pole-Arms Block,,Horde,40,5,4,-,3,25,20/22,CS(1),,165
Kingdoms of Men,Infantry,Pike Block,,Regiment,20,5,4,-,3,15,13/15,"Phalanx, Ensnare",,135
Kingdoms of Men,Infantry,Pike Block,,Horde,40,5,4,-,3,30,20/22,"Phalanx, Ensnare",,225
Kingdoms of Men,Infantry,Shield Wall,,Troop,10,5,4,-,4,10,9/11,,,70
Kingdoms of Men,Infantry,Shield Wall,,Regiment,20,5,4,-,4,12,13/15,,,100
Kingdoms of Men,Infantry,Shield Wall,,Horde,40,5,4,-,4,25,20/22,,,165
Kingdoms of Men,Infantry,Militia Mob*,,Troop,10,5,5,-,3,10,8/10,,,50
Kingdoms of Men,Infantry,Militia Mob*,,Regiment,20,5,5,-,3,12,12/14,,,70
Kingdoms of Men,Infantry,Militia Mob*,,Horde,40,5,5,-,3,25,19/21,,,115
Kingdoms of Men,Infantry,Militia Mob*,,Legion,60,5,5,-,3,30,25/27,,,170
Kingdoms of Men,Infantry,Berserkers,,Troop,10,5,3,-,3,10,-/12,CS(1),,100
Kingdoms of Men,Infantry,Berserkers,,Regiment,20,5,3,-,3,15,-/16,CS(1),,140
Kingdoms of Men,Infantry,Berserkers,,Horde,40,5,3,-,3,30,-/23,CS(1),,230
Kingdoms of Men,Infantry,Bowmen,,Troop,10,5,5,5,3,8,9/11,Bows,,75
Kingdoms of Men,Infantry,Bowmen,,Regiment,20,5,5,5,3,10,13/15,Bows,,100
Kingdoms of Men,Infantry,Bowmen,,Horde,40,5,5,5,3,20,20/22,Bows,,165
Kingdoms of Men,Infantry,Crossbowmen ,,Troop,10,5,5,5,3,8,9/11,"Crossbows, Piercing(1), Reload",,85
Kingdoms of Men,Infantry,Crossbowmen ,,Regiment,20,5,5,5,3,10,13/15,"Crossbows, Piercing(1), Reload",,115
Kingdoms of Men,Infantry,Crossbowmen ,,Horde,40,5,5,5,3,20,20/22,"Crossbows, Piercing(1), Reload",,190
Kingdoms of Men,Infantry,Arquebusiers,,Troop,10,5,5,5,3,8,9/11,"Rifles, Piercing(2), Reload",,100
Kingdoms of Men,Infantry,Arquebusiers,,Regiment,20,5,5,5,3,10,13/15,"Rifles, Piercing(2), Reload",,135
Kingdoms of Men,Infantry,Arquebusiers,,Horde,40,5,5,5,3,20,20/22,"Rifles, Piercing(2), Reload",,225
Kingdoms of Men,Infantry,Heavy Pike Block,,Regiment,20,5,4,-,4,15,14/16,"Phalanx, Ensnare, Elite",,165
Kingdoms of Men,Infantry,Heavy Pike Block,,Horde,40,5,4,-,4,30,21/22,"Phalanx, Ensnare, Elite",,270
Kingdoms of Men,Cavalry,Knights,,Troop,5,8,3,-,5,8,11/13,"TC(2), Headstrong",,125
Kingdoms of Men,Cavalry,Knights,,Regiment,10,8,3,-,5,16,14/16,"TC(2), Headstrong",,195
Kingdoms of Men,Cavalry,Knights,,Horde,20,8,3,-,5,32,21/23,"TC(2), Headstrong",,340
Kingdoms of Men,Cavalry,Mounted Sergeants,,Troop,5,9,4,-,4,7,10/12,"TC(1), Nimble",,105
Kingdoms of Men,Cavalry,Mounted Sergeants,,Regiment,10,9,4,-,4,14,13/15,"TC(1), Nimble",,160
Kingdoms of Men,Cavalry,Mounted Scouts,,Troop,5,9,5,5,3,7,10/12,"Bows, Nimble","Exchange bows with pistols for free (gain Piercing
(1) but halve their range) 
(+15  Exchange bows for carbines and gain Piercing (1) and 18"" Range)",100
Kingdoms of Men,Large Cavalry,Charioteers,,Regiment,3,8,4,5,4,8,11/13,"TC(2), Bows, 50x100mm base",,115
Kingdoms of Men,Large Cavalry,Charioteers,,Horde,6,8,4,5,4,16,14/16,"TC(2), Bows, 50x100mm base",,175
Kingdoms of Men,War Engine,Artillery,,War Engine,1,5,-,5,4,1,9/11,"Reload!, Blast(D6+2), Piercing(3), Indirect",,90
Kingdoms of Men,War Engine,Cannon,,War Engine,1,5,-,5,4,1,9/11,"Reload!, Blast(D6+1), Piercing(4)",,85
Kingdoms of Men,War Engine,Ballista,,War Engine,1,5,-,5,4,1,9/11,"Reload!, Blast (D3+2), Piercing(3)",,60
Kingdoms of Men,Monster,Beast of War,,Monster,1,7,4,-,5,12,15/17,"CS(2), TC(2), Brutal, 50x100mm base","Mount on it a Ballista – Range 36”, Ra 5+, 2 attacks, Blast (D3), Piercing (2) – for +10 pts.",210
Kingdoms of Men,Infantry,General,,Hero,1,5,3,-,5,4,12/14,"CS(1), Individual, Very Inspiring",,100
Kingdoms of Men,Cavalry,General,w/ Horse,Hero,1,8,3,-,5,4,12/14,"CS(1), Individual, Very Inspiring",,120
Kingdoms of Men,Large Cavalry,General,w/ Pegasus,Hero,1,10,3,-,5,4,12/14,"CS(1), Very Inspiring, Fly",,150
Kingdoms of Men,Monster,General on Winged Beast,,Hero,1,10,3,-,5,6,14/16,"CS(2), Fly, Very Inspiring",,190
Kingdoms of Men,Infantry,Army Standard Bearer,,Hero,1,5,5,-,4,1,9/11,"Individual, Very Inspiring",,50
Kingdoms of Men,Cavalry,Army Standard Bearer,w/ Horse,Hero,1,9,4,-,4,1,9/11,"Individual, Very Inspiring",,65
Kingdoms of Men,Infantry,Hero,,Hero,1,5,3,-,5,3,10/12,"CS(1), Individual",,50
Kingdoms of Men,Cavalry,Hero,w/ Horse,Hero,1,8,3,-,5,3,10/12,"CS(1), Individual",,65
Kingdoms of Men,Large Cavalry,Hero,w/ Pegasus,Hero,1,10,3,-,5,3,10/12,"CS(1), Fly",,90
Kingdoms of Men,Infantry,Wizard,,Hero,1,5,4,-,4,1,10/12,"Breath Attack(6), Individual",May swap Breath for Lightning for Free (+25 LightningBolt(3))(+30 WindBlast(5))(+10 Heal(2))(+15 BaneChant(2)),50
Kingdoms of Men,Cavalry,Wizard,w/ Horse,Hero,1,9,4,-,4,1,10/12,"Breath Attack(6), Individual",May swap Breath for Lightning for Free (+25 LightningBolt(3))(+30 WindBlast(5))(+10 Heal(2))(+15 BaneChant(2)),65
Kingdoms of Men,Large Cavalry,Wizard,w/ Pegasus,Hero,1,10,4,-,4,1,10/12,"Breath Attack(6), Fly",May swap Breath for Lightning for Free (+25 LightningBolt(3))(+30 WindBlast(5))(+10 Heal(2))(+15 BaneChant(2)),75
Kingdoms of Men,Infantry,The Captain[1],,Living Legend,1,5,3,-,5,3,11/13,"CS(1), Individual, Very Inspiring, Master Tactician","Alllow D3 of your own units to redeploy after deployment, but before vanguard",150
Kingdoms of Men,Cavalry,The Captain[1],w/ Horse ,Living Legend,1,8,3,-,5,3,11/13,"CS(1), Individual, Very Inspiring, Master Tactician","Alllow D3 of your own units to redeploy after deployment, but before vanguard",170
Undead,Infantry,Skeleton Warriors,,Troop,10,5,5,-,4,10,-/12,Shambling,(Undead Dogs (+10 pts),65
Undead,Infantry,Skeleton Warriors,,Regiment,20,5,5,-,4,12,-/16,Shambling,(Undead Dogs (+10 pts),90
Undead,Infantry,Skeleton Warriors,,Horde,40,5,5,-,4,25,-/23,Shambling,(Undead Dogs (+10 pts),150
Undead,Infantry,Skeleton Spearmen,,Troop,10,5,5,-,4,10,-/12,"Shambling, Phalanx",(Undead Dogs (+10 pts),75
Undead,Infantry,Skeleton Spearmen,,Regiment,20,5,5,-,4,15,-/16,"Shambling, Phalanx",(Undead Dogs (+10 pts),105
Undead,Infantry,Skeleton Spearmen,,Horde,40,5,5,-,4,30,-/23,"Shambling, Phalanx",(Undead Dogs (+10 pts),175
Undead,Infantry,Revenants,,Troop,10,5,4,-,5,10,-/13,Shambling,"2H(CS(1), -1 DE) (Undead Dogs (+10 pts)",85
Undead,Infantry,Revenants,,Regiment,20,5,4,-,5,12,-/17,Shambling,"2H(CS(1), -1 DE) (Undead Dogs (+10 pts)",120
Undead,Infantry,Revenants,,Horde,40,5,4,-,5,25,-/24,Shambling,"2H(CS(1), -1 DE) (Undead Dogs (+10 pts)",200
Undead,Infantry,Zombies,,Regiment,20,5,5,-,3,15,-/15,Shambling,(Undead Dogs (+10 pts),80
Undead,Infantry,Zombies,,Horde,40,5,5,-,3,30,-/22,Shambling,(Undead Dogs (+10 pts),130
Undead,Infantry,Zombies,,Legion,60,5,5,-,3,40,-/28,Shambling,(Undead Dogs (+10 pts),190
Undead,Infantry,Wraiths,,Troop,10,10,4,-,6,10,-/12,"CS(1), Fly, Shambling",,140
Undead,Infantry,Wraiths,,Regiment,20,10,4,-,6,12,-/16,"CS(1), Fly, Shambling",,200
Undead,Infantry,Ghouls,,Troop,10,6,4,-,3,10,8/10,,,65
Undead,Infantry,Ghouls,,Regiment,20,6,4,-,3,12,12/14,,,90
Undead,Infantry,Ghouls,,Horde,40,6,4,-,3,25,19/21,,,150
Undead,Infantry,Skeleton Archers,,Troop,10,5,6,5,3,8,-/12,"Bows, Shambling",(Undead Dogs (+10 pts),75
Undead,Infantry,Skeleton Archers,,Regiment,20,5,6,5,3,10,-/16,"Bows, Shambling",(Undead Dogs (+10 pts),100
Undead,Infantry,Skeleton Archers,,Horde,40,5,6,5,3,20,-/23,"Bows, Shambling",(Undead Dogs (+10 pts),165
Undead,Infantry,Mummies,,Troop,10,5,4,-,5,10,-/14,"CS(2), Regeneration (5+), Shambling",,120
Undead,Infantry,Mummies,,Regiment,20,5,4,-,5,12,-/18,"CS(2), Regeneration (5+), Shambling",,170
Undead,Infantry,Soul Reaver infantry,,Troop,10,6,3,-,5,20,11/13,"CS(2), Life Leech (2)",,180
Undead,Infantry,Soul Reaver infantry,,Regiment,20,6,3,-,5,25,15/17,"CS(2), Life Leech (2)",,260
Undead,Large Infantry,Werewolves,,Regiment,3,9,3,-,5,9,12/14,"CS(1), Nimble",,160
Undead,Large Infantry,Werewolves,,Horde,6,9,3,-,5,18,15/17,"CS(1), Nimble",,245
Undead,Large Infantry,Zombie Trolls,,Regiment,3,6,4,-,4,9,-/15,"CS(2), Shambling",,115
Undead,Large Infantry,Zombie Trolls,,Horde,6,6,4,-,4,18,-/18,"CS(2), Shambling",,175
Undead,Large Infantry,Wights,,Regiment,3,6,4,-,5,9,-/14,"CS(3), Shambling, Brutal",,155
Undead,Large Infantry,Wights,,Horde,6,6,4,-,5,18,-/17,"CS(3), Shambling, Brutal",,235
Undead,Cavalry,Revenant Cavalry,,Troop,5,8,4,-,5,8,-/14,"TC(2), Shambling",,110
Undead,Cavalry,Revenant Cavalry,,Regiment,10,8,4,-,5,16,-/17,"TC(2), Shambling",,170
Undead,Cavalry,Soul Reaver Cavalry,,Troop,5,8,3,-,6,10,12/14,"CS(1), TC(2), Life Leech (2)",,195
Undead,Cavalry,Soul Reaver Cavalry,,Regiment,10,8,3,-,6,20,15/17,"CS(1), TC(2), Life Leech (2)",,300
Undead,War Engine,Balefire Catapult,,War Engine,1,5,-,5,4,1,-/11,"Blast (D6+2), Shambling, Vicious, Piercing(2), Indirect, Reload!",,100
Undead,Monster,Revenant King on Undead Wyrm,,Hero,1,7,4,-,5,9,18/20,"CS(3), Surge(6), Inspiring",Fly & Speed 10(45Pts),190
Undead,Monster,Revenant King on Undead Wyrm,w/ Wings,Hero,1,10,4,-,5,9,18/20,"CS(3), Surge(6), Inspiring",Fly & Speed 10(45Pts),235
Undead,Infantry,Undead Army Standard Bearer,,Hero,1,5,5,-,4,1,-/13,"Shambling, Individual, Inspiring","Horse(15 Pts, Sp8)",50
Undead,Cavalry,Undead Army Standard Bearer,w/ Mount,Hero,1,8,5,-,4,1,-/13,"Shambling, Individual, Inspiring","Horse(15 Pts, Sp8)",65
Undead,Infantry,Vampire Lord,,Hero,1,7,3,-,6,8,14/16,"CS(2), Inspiring, Surge(3), Individual, (Life Leech (2)",(+10 Heal(2))(+20 LightningBolt(3)),220
Undead,Cavalry,Vampire Lord,w/ Mount,Hero,1,9,3,-,6,8,14/16,"CS(2), Inspiring, Surge(3), Individual, (Life Leech (2)",(+10 Heal(2))(+20 LightningBolt(3)),235
Undead,Large Cavalry,Vampire Lord,w/ Pegasus,Hero,1,10,3,-,5,8,14/16,"CS(2), Inspiring, Surge(3), Life Leech (2), Fly","Gains speed 10 and Fly, loses individual and becomes Large Cavalry. Loses 1 De",245
Undead,Large Cavalry,Vampire on Undead Pegasus,,Hero,1,10,3,-,5,10,16/18,"CS(2), Inspiring, Surge(3), Fly",(+10 H2)(+25 LB3),285
Undead,Monster,Vampire on Dragon,,Hero,1,10,3,-,5,10,17/19,"CS(3), Breath 10, Inspiring, Surge(3), Fly, Life Leech (2)",(+10 Heal(2))(+20 LightningBolt(3)),330
Undead,Infantry,Revenant King,,Hero,1,5,4,-,5,5,14/16,"CS(1), Individual, Surge(6), Inspiring",Horse (20 Pts Sp8),120
Undead,Cavalry,Revenant King,w/ Mount,Hero,1,8,4,-,5,5,14/16,"CS(1), Individual, Surge(6), Inspiring",Horse (20 Pts Sp8),140
Undead,Infantry,Cursed Pharaoh,,Hero,1,5,3,-,6,5,15/17,"CS(2), Individual, Surge(6), Inspiring, Regeneration (5+)",,145
Undead,Infantry,Necromancer,,Hero,1,5,5,-,4,1,10/12,"Surge(8), Individual",((+15 Heal(3)) or free swap for Surge)(+20 LightningBolt(3))(+15 BaneChant(2)),85
Undead,Cavalry,Necromancer,w/ Mount,Hero,1,8,5,-,4,1,10/12,"Surge(8), Individual",((+15 Heal(3)) or free swap for Surge)(+20 LightningBolt(3))(+15 BaneChant(2)),95
Undead,Infantry,Liche King,,Hero,1,5,5,-,4,1,14/16,"Surge(12), Individual, Regeneration (5+), Inspiring",((+20 Heal(6)) or free swap for Surge) (+35 LightningBolt(5)) (+20 BaneChant(3)),145
Undead,Cavalry,Liche King,w/ Mount,Hero,1,8,5,-,4,1,14/16,"Surge(12), Individual, Regeneration (5+), Inspiring",((+20 Heal(6)) or free swap for Surge) (+35 LightningBolt(5)) (+20 BaneChant(3)),165
Undead,Large Infantry,Lykanis,,Hero,1,9,3,-,5,5,13/15,"CS(2), Inspiring(Werewolves), Nimble",,145
Undead,Infantry,Mhorgoth the Faceless[1],,Living Legend,1,10,4,-,6,1,17/19,"Very Inspiring, Breath(15), Surge(12), Fly, Heal(6), Lightning Bolt(6), BaneChant(4), Regeneration(5+), Individual, Touch of Darkness",,270
Undead,Infantry,Lady Ilona[1],,Living Legend,1,8,3,-,6,8,14/16,"CS(3), Dark Surge(3), Heal(3), Individual, Inspiring, Lightning Bolt(3), Love Eternal, Life Leech (2)",Love Eternal: Enemy heroes attacking Lady Ilona recieve -1 to hit in melee.,280
Undead,Infantry,Mortibris the Necromancer [1],,Living Legend,1,5,5,-,4,1,15/17,"Life Leech(1), Individual, Inspiring, Regeneration (5+), Surge (10), Heal (5), Lightning Bolt (4), Bane-chant (2), Stealthy. Chill Mist 
While within 6"" of Mortibris, all friendly, non-allied units have the Stealthy special rule.",Hero of Renown +50 pts,210
Basileans,Infantry,Men-at-Arms,,Troop,10,5,4,-,4,10,10/12,,,80
Basileans,Infantry,Men-at-Arms,,Regiment,20,5,4,-,4,12,14/16,,,115
Basileans,Infantry,Men-at-Arms,,Horde,40,5,4,-,4,25,21/23,,,190
Basileans,Infantry,Men-at-Arms with Spears,,Troop,10,5,4,-,4,10,10/12,Phalanx,,95
Basileans,Infantry,Men-at-Arms with Spears,,Regiment,20,5,4,-,4,15,14/16,Phalanx,,135
Basileans,Infantry,Men-at-Arms with Spears,,Horde,40,5,4,-,4,30,21/23,Phalanx,,225
Basileans,Infantry,Crossbowmen,,Troop,10,5,5,5,4,8,10/12,"Crossbows, Piercing(1), Reload",,100
Basileans,Infantry,Crossbowmen,,Regiment,20,5,5,5,4,10,14/16,"Crossbows, Piercing(1), Reload",,130
Basileans,Infantry,Crossbowmen,,Horde,40,5,5,5,4,20,21/23,"Crossbows, Piercing(1), Reload",,215
Basileans,Infantry,Paladin Foot Guard,,Troop,10,5,3,-,5,10,11/13,Headstrong,CS1 for -1DE,105
Basileans,Infantry,Paladin Foot Guard,,Regiment,20,5,3,-,5,12,15/17,Headstrong,CS1 for -1DE,150
Basileans,Infantry,Sisterhood Infantry,,Troop,10,5,4,-,3,10,10/12,"CS(1), Headstrong, Vicious",,90
Basileans,Infantry,Sisterhood Infantry,,Regiment,20,5,4,-,3,15,14/16,"CS(1), Headstrong, Vicious",,130
Basileans,Infantry,Sisterhood Infantry,,Horde,40,5,4,-,3,30,21/23,"CS(1), Headstrong, Vicious",,215
Basileans,Infantry,Penitents Mob,,Troop,10,5,5,-,3,10,8/10,"CS(1), Headstrong",,70
Basileans,Infantry,Penitents Mob,,Regiment,20,5,5,-,3,15,12/14,"CS(1), Headstrong",,100
Basileans,Infantry,Penitents Mob,,Horde,40,5,5,-,3,30,19/21,"CS(1), Headstrong",,165
Basileans,Large Infantry,Elohi,,Regiment,3,10,3,-,5,9,-/14,"CS(1), TC(1) Fly,Inspiring",,195
Basileans,Large Infantry,Elohi,,Horde,6,10,3,-,5,18,-/17,"CS(1), TC(1) Fly,Inspiring",,300
Basileans,Cavalry,Paladin Knights,,Troop,5,8,3,-,5,8,12/14,"TC(2), Headstrong",,135
Basileans,Cavalry,Paladin Knights,,Regiment,10,8,3,-,5,16,15/17,"TC(2), Headstrong",,210
Basileans,Cavalry,Paladin Knights,,Horde,20,8,3,-,5,32,22/24,"TC(2), Headstrong",,350
Basileans,Cavalry,Sisterhood Panther Lancers,,Troop,5,10,4,-,3,8,11/13,"Nimble, TC(1), Vicious",,115
Basileans,Cavalry,Sisterhood Panther Lancers,,Regiment,10,10,4,-,3,16,14/16,"Nimble, TC(1), Vicious",,175
Basileans,Large Cavalry,Sisterhood Panther Chariot,,Troop,3,9,4,-,4,15,12/14,"TC(2), Vicious",,180
Basileans,Large Cavalry,Sisterhood Panther Chariot,,Regiment,6,9,4,-,4,30,15/17,"TC(2), Vicious",,280
Basileans,War Engine,Heavy Arbalest,,War Engine,1,5,-,5,4,1,10/12,"Reload!, Blast (D3+2), Piercing(3)",,65
Basileans,Monster,Phoenix,,Monster,1,10,3,-,3,3,14/16,"Inspiring, CS(1), Breath Attack(10), Heal(6), Fly, Regeneration (4+)",,165
Basileans,Infantry,Bearer of the Holy Icon??,,Hero,1,5,5,-,4,1,10/12,"Individual, Inspiring","Barded Horse(+20pts, DE5, SP8)",55
Basileans,Cavalry,Bearer of the Holy Icon??,w/ Barded Horse,Hero,1,8,5,-,5,1,10/12,"Individual, Inspiring","Barded Horse(+20pts, DE5, SP8)",75
Basileans,Infantry,Dictator,,Hero,1,5,3,-,5,3,13/15,"CS(1), Individual, Inspiring","Barded Horse(+30pts, SP8, TC(1))",90
Basileans,Cavalry,Dictator,w/ Barded Horse,Hero,1,8,3,-,5,3,13/15,"CS(1), TC(2), Individual, Inspiring","Barded Horse(+30pts, SP8, TC(1))",120
Basileans,Infantry,High Paladin,,Hero,1,5,3,-,5,5,13/15,"CS(1), Individual, Inspiring, Headstrong, Heal(2)","Barded Horse(+30pts, SP8, TC(1))",130
Basileans,Cavalry,High Paladin,w/ Barded Horse,Hero,1,8,3,-,5,5,13/15,"CS(1), TC(1), Individual, Inspiring, Headstrong, Heal(2)","Barded Horse(+30pts, SP8, TC(1))",160
Basileans,Monster,High Paladin on Griffin,,Hero,1,10,3,-,5,7,15/17,"CS(2), Headstrong, Heal(2), Inspiring, Fly",,210
Basileans,Monster,High Paladin on Dragon,,Hero,1,10,3,-,5,9,17/19,"CS(3), Headstrong, Heal(2), Inspiring, Fly, Breath(10)",,310
Basileans,Infantry,Abbess,,Hero,1,5,3,-,4,4,12/14,"CS(1), Headstrong, Individual, Vicious, Very Inspiring(Sisterhood Only)","Panther: (+20pts, SP10, TC(1)",90
Basileans,Cavalry,Abbess,w/ Mount,Hero,1,10,3,-,4,4,12/14,"CS(1), TC(1), Headstrong, Individual, Vicious, Very Inspiring(Sisterhood Only)","Panther: (+20pts, SP10, TC(1)",110
Basileans,Large Cavalry,Abbess on Panther Chariot,,Hero,1,9,3,-,5,8,14/16,"CS(1), TC(1), Headstrong, Vicious, Very Inspiring(Sisterhood Only), 50x100mm base size",,170
Basileans,Infantry,Priest,,Hero,1,5,4,-,4,1,11/13,"CS(1), Headstrong, Heal(3), Individual, Very Inspiring (Penitents only)",(+15 BaneChant(2)),75
Basileans,Cavalry,Priest,w/ Mount,Hero,1,9,4,-,4,1,11/13,"CS(1), Vicious, Heal(3), Individual, Very Inspiring (Penitents only)",(+15 BaneChant(2)),90
Basileans,Large Infantry,Ur-Elohi,,Hero,1,10,3,-,5,6,-/15,"Inspiring, CS(2), TC(1), Heal(3), Fly,",,180
